alpha_id,op,window,count_in_alpha,category,transformable
alpha_001,ts_argmax,5,1,short,True
alpha_001,ts_std,20,1,medium,True
alpha_002,correlation,6,1,short,True
alpha_002,delta,2,1,short,True
alpha_003,correlation,10,1,short,True
alpha_004,ts_rank,9,1,short,True
alpha_005,ts_sum,10,1,short,True
alpha_006,correlation,10,1,short,True
alpha_007,_adv,20,1,medium,True
alpha_007,delta,7,1,short,True
alpha_007,ts_rank,60,1,long,True
alpha_008,delay,10,1,short,True
alpha_008,ts_sum,5,2,short,True
alpha_009,delta,1,1,short,True
alpha_009,ts_max,5,1,short,True
alpha_009,ts_min,5,1,short,True
alpha_010,delta,1,1,short,True
alpha_010,ts_max,4,1,short,True
alpha_010,ts_min,4,1,short,True
alpha_011,delta,3,1,short,True
alpha_011,ts_max,3,1,short,True
alpha_011,ts_min,3,1,short,True
alpha_012,delta,1,2,short,True
alpha_013,covariance,5,1,short,True
alpha_014,correlation,10,1,short,True
alpha_014,delta,3,1,short,True
alpha_015,correlation,3,1,short,True
alpha_015,ts_sum,3,1,short,True
alpha_016,covariance,5,1,short,True
alpha_017,_adv,20,1,medium,True
alpha_017,delta,1,2,short,True
alpha_017,ts_rank,5,1,short,True
alpha_017,ts_rank,10,1,short,True
alpha_018,correlation,10,1,short,True
alpha_018,ts_std,5,1,short,True
alpha_019,delay,7,1,short,True
alpha_019,delta,7,1,short,True
alpha_019,ts_sum,250,1,long,True
alpha_020,delay,1,3,short,True
alpha_021,_adv,20,1,medium,True
alpha_021,ts_std,8,1,short,True
alpha_021,ts_sum,2,1,short,True
alpha_021,ts_sum,8,1,short,True
alpha_022,correlation,5,1,short,True
alpha_022,delta,5,1,short,True
alpha_022,ts_std,20,1,medium,True
alpha_023,delta,2,1,short,True
alpha_023,ts_sum,20,1,medium,True
alpha_024,delay,100,1,long,True
alpha_024,delta,3,1,short,True
alpha_024,delta,100,1,long,True
alpha_024,ts_min,100,1,long,True
alpha_024,ts_sum,100,1,long,True
alpha_025,_adv,20,1,medium,True
alpha_026,correlation,5,1,short,True
alpha_026,ts_max,3,1,short,True
alpha_026,ts_rank,5,2,short,True
alpha_027,correlation,6,1,short,True
alpha_027,ts_sum,2,1,short,True
alpha_028,_adv,20,1,medium,True
alpha_028,correlation,5,1,short,True
alpha_029,delay,6,1,short,True
alpha_029,delta,5,1,short,True
alpha_029,ts_min,2,1,short,True
alpha_029,ts_min,5,1,short,True
alpha_029,ts_product,1,1,short,True
alpha_029,ts_rank,5,1,short,True
alpha_029,ts_sum,1,1,short,True
alpha_030,delay,1,2,short,True
alpha_030,delay,2,2,short,True
alpha_030,delay,3,1,short,True
alpha_030,ts_sum,5,1,short,True
alpha_030,ts_sum,20,1,medium,True
alpha_031,_adv,20,1,medium,True
alpha_031,correlation,12,1,medium,True
alpha_031,decay_linear,10,1,short,True
alpha_031,delta,3,1,short,True
alpha_031,delta,10,1,short,True
alpha_032,correlation,230,1,long,True
alpha_032,delay,5,1,short,True
alpha_032,ts_sum,7,1,short,True
alpha_033,,,0,,False
alpha_034,delta,1,1,short,True
alpha_034,ts_std,2,1,short,True
alpha_034,ts_std,5,1,short,True
alpha_035,ts_rank,16,1,medium,True
alpha_035,ts_rank,32,2,other,True
alpha_036,_adv,20,1,medium,True
alpha_036,correlation,6,1,short,True
alpha_036,correlation,15,1,medium,True
alpha_036,delay,1,1,short,True
alpha_036,delay,6,1,short,True
alpha_036,ts_rank,5,1,short,True
alpha_036,ts_sum,200,1,long,True
alpha_037,correlation,200,1,long,True
alpha_037,delay,1,1,short,True
alpha_038,ts_rank,10,1,short,True
alpha_039,_adv,20,1,medium,True
alpha_039,decay_linear,9,1,short,True
alpha_039,delta,7,1,short,True
alpha_039,ts_sum,250,1,long,True
alpha_040,correlation,10,1,short,True
alpha_040,ts_std,10,1,short,True
alpha_041,,,0,,False
alpha_042,,,0,,False
alpha_043,_adv,20,1,medium,True
alpha_043,delta,7,1,short,True
alpha_043,ts_rank,8,1,short,True
alpha_043,ts_rank,20,1,medium,True
alpha_044,correlation,5,1,short,True
alpha_045,correlation,2,2,short,True
alpha_045,delay,5,1,short,True
alpha_045,ts_sum,5,1,short,True
alpha_045,ts_sum,20,2,medium,True
alpha_046,delay,1,1,short,True
alpha_046,delay,10,2,short,True
alpha_046,delay,20,1,medium,True
alpha_047,_adv,20,1,medium,True
alpha_047,delay,5,1,short,True
alpha_047,ts_sum,5,1,short,True
alpha_048,correlation,250,1,long,True
alpha_048,delay,1,2,short,True
alpha_048,delta,1,2,short,True
alpha_048,ts_sum,250,1,long,True
alpha_049,delay,1,1,short,True
alpha_049,delay,10,2,short,True
alpha_049,delay,20,1,medium,True
alpha_050,correlation,5,1,short,True
alpha_050,ts_max,5,1,short,True
alpha_051,delay,1,1,short,True
alpha_051,delay,10,2,short,True
alpha_051,delay,20,1,medium,True
alpha_052,delay,5,1,short,True
alpha_052,ts_min,5,2,short,True
alpha_052,ts_rank,5,1,short,True
alpha_052,ts_sum,20,1,medium,True
alpha_052,ts_sum,240,1,long,True
alpha_053,delta,9,1,short,True
alpha_054,,,0,,False
alpha_055,correlation,6,1,short,True
alpha_055,ts_max,12,1,medium,True
alpha_055,ts_min,12,1,medium,True
alpha_056,,,0,,False
alpha_057,decay_linear,2,1,short,True
alpha_057,ts_argmax,30,1,medium,True
alpha_058,correlation,4,1,short,True
alpha_058,decay_linear,8,1,short,True
alpha_058,ts_rank,6,1,short,True
alpha_059,correlation,4,1,short,True
alpha_059,decay_linear,16,1,medium,True
alpha_059,ts_rank,8,1,short,True
alpha_060,ts_argmax,10,1,short,True
alpha_061,_adv,180,1,long,True
alpha_061,correlation,18,1,medium,True
alpha_061,ts_min,16,1,medium,True
alpha_062,_adv,20,1,medium,True
alpha_062,correlation,10,1,short,True
alpha_062,ts_sum,22,1,medium,True
alpha_063,_adv,180,1,long,True
alpha_063,correlation,13,1,medium,True
alpha_063,decay_linear,8,1,short,True
alpha_063,decay_linear,12,1,medium,True
alpha_063,delta,2,1,short,True
alpha_063,ts_sum,37,1,other,True
alpha_064,_adv,120,1,long,True
alpha_064,correlation,16,1,medium,True
alpha_064,delta,3,1,short,True
alpha_064,ts_sum,12,2,medium,True
alpha_065,_adv,60,1,long,True
alpha_065,correlation,6,1,short,True
alpha_065,ts_min,13,1,medium,True
alpha_065,ts_sum,8,1,short,True
alpha_066,decay_linear,7,1,short,True
alpha_066,decay_linear,11,1,medium,True
alpha_066,delta,3,1,short,True
alpha_066,ts_rank,6,1,short,True
alpha_067,_adv,20,1,medium,True
alpha_067,correlation,6,1,short,True
alpha_067,ts_min,2,1,short,True
alpha_068,_adv,15,1,medium,True
alpha_068,correlation,9,1,short,True
alpha_068,delta,1,1,short,True
alpha_068,ts_rank,14,1,medium,True
alpha_069,_adv,20,1,medium,True
alpha_069,correlation,5,1,short,True
alpha_069,delta,3,1,short,True
alpha_069,ts_max,5,1,short,True
alpha_069,ts_rank,9,1,short,True
alpha_070,_adv,50,1,other,True
alpha_070,correlation,18,1,medium,True
alpha_070,delta,1,1,short,True
alpha_070,ts_rank,18,1,medium,True
alpha_071,_adv,180,1,long,True
alpha_071,correlation,18,1,medium,True
alpha_071,decay_linear,4,1,short,True
alpha_071,decay_linear,16,1,medium,True
alpha_071,ts_rank,3,1,short,True
alpha_071,ts_rank,4,1,short,True
alpha_071,ts_rank,12,1,medium,True
alpha_071,ts_rank,15,1,medium,True
alpha_072,_adv,40,1,other,True
alpha_072,correlation,7,1,short,True
alpha_072,correlation,9,1,short,True
alpha_072,decay_linear,3,1,short,True
alpha_072,decay_linear,10,1,short,True
alpha_072,ts_rank,4,1,short,True
alpha_072,ts_rank,19,1,medium,True
alpha_073,decay_linear,3,2,short,True
alpha_073,delta,2,1,short,True
alpha_073,delta,5,1,short,True
alpha_073,ts_rank,17,1,medium,True
alpha_074,_adv,30,1,medium,True
alpha_074,correlation,11,1,medium,True
alpha_074,correlation,15,1,medium,True
alpha_074,ts_sum,37,1,other,True
alpha_075,_adv,50,1,other,True
alpha_075,correlation,4,1,short,True
alpha_075,correlation,12,1,medium,True
alpha_076,_adv,81,1,long,True
alpha_076,correlation,8,1,short,True
alpha_076,decay_linear,12,1,medium,True
alpha_076,decay_linear,17,1,medium,True
alpha_076,delta,1,1,short,True
alpha_076,ts_rank,19,1,medium,True
alpha_076,ts_rank,20,1,medium,True
alpha_077,_adv,40,1,other,True
alpha_077,correlation,3,1,short,True
alpha_077,decay_linear,6,1,short,True
alpha_077,decay_linear,20,1,medium,True
alpha_078,_adv,40,1,other,True
alpha_078,correlation,6,1,short,True
alpha_078,correlation,7,1,short,True
alpha_078,ts_sum,20,2,medium,True
alpha_079,_adv,150,1,long,True
alpha_079,correlation,15,1,medium,True
alpha_079,delta,1,1,short,True
alpha_079,ts_rank,4,1,short,True
alpha_079,ts_rank,9,1,short,True
alpha_080,_adv,10,1,short,True
alpha_080,correlation,5,1,short,True
alpha_080,delta,4,1,short,True
alpha_080,ts_rank,6,1,short,True
alpha_081,_adv,10,1,short,True
alpha_081,correlation,5,1,short,True
alpha_081,correlation,8,1,short,True
alpha_081,ts_product,15,1,medium,True
alpha_081,ts_sum,50,1,other,True
alpha_082,correlation,17,1,medium,True
alpha_082,decay_linear,7,1,short,True
alpha_082,decay_linear,15,1,medium,True
